"---","RecipeId","DisplayName","Description","Ingredients","Outputs","CraftTime","RequiredStation","RequiredSkillId","RequiredSkillLevel","RequiredKnowledge","SkillXPReward","Icon","Category","RequiredTools","bRequiresDiscovery","DiscoveryKnowledgeId","DiscoveryKnowledgeLevel","DiscoverySkillLevel","bIsBuilding","PlacementData","BuildParts","TotalBuildTime","BuildRange","ProvidedStationType","ContainerSlotCount","bRequiresFuel","MaxFuel","FuelConsumptionRate","AcceptedFuelItems","bIsHarvestRecipe","RequiredTargetTag","bDestroysTarget"
"TwistCordage","TwistCordage","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""TwistCordage_DisplayName"", ""Twist Cordage"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""TwistCordage_Description"", ""Twist fibers clockwise into yarn, then twist two yarns counter-clockwise together. This opposing twist locks the fibers in tension - a deceptively complex technique that enabled snares, hafted tools, and countless other technologies."")","((ItemDefinitionId=""PlantFiber01"",Quantity=3,bRequiresKnowledge=False))","((ItemDefinitionId=""Cordage01"",Quantity=1,Chance=1.000000))","15.000000","None","Weaving","0","","15.000000","None","Materials","","True","TwistCordage","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"ShapeDiggingStick","ShapeDiggingStick","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeDiggingStick_DisplayName"", ""Shape Digging Stick"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeDiggingStick_Description"", ""Select a hardwood branch and sharpen one end to a point using a stone flake. This most basic of tools unlocks the calories stored in underground tubers."")","((ItemDefinitionId=""Branch01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""DiggingStick01"",Quantity=1,Chance=1.000000))","15.000000","None","Woodworking","0","","10.000000","None","Tools","","True","WoodProperties","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"SelectClub","SelectClub","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""SelectClub_DisplayName"", ""Select Crude Club"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""SelectClub_Description"", ""Find a heavy branch with good heft for striking. Sometimes the simplest weapon is best."")","((ItemDefinitionId=""Branch01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""CrudeClub01"",Quantity=1,Chance=1.000000))","5.000000","None","Melee","0","","5.000000","None","Weapons","","False","None","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"GatherTinder","GatherTinder","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""GatherTinder_DisplayName"", ""Gather Dry Tinder"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""GatherTinder_Description"", ""Collect fine, dry materials that will catch a spark - shredded bark, dried grass, or fungal amadou."")","((ItemDefinitionId=""DriedGrass01"",Quantity=3,bRequiresKnowledge=False))","((ItemDefinitionId=""DryTinder01"",Quantity=1,Chance=1.000000))","10.000000","None","Firemaking","0","","8.000000","None","Materials","","True","TinderGathering","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"MakeFireDrill","MakeFireDrill","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeFireDrill_DisplayName"", ""Make Fire Drill"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeFireDrill_Description"", ""Carve a straight hardwood spindle and prepare a softwood fireboard with a notched depression. The hand drill is one of humanitys oldest fire-starting methods."")","((ItemDefinitionId=""Hardwood01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Softwood01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""FireDrill01"",Quantity=1,Chance=1.000000))","30.000000","None","Firemaking","2","","25.000000","None","Tools","","True","HandDrill","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"MakeBowDrill","MakeBowDrill","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeBowDrill_DisplayName"", ""Make Bow Drill"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeBowDrill_Description"", ""A bow-driven spindle generates more heat with less effort than a hand drill. The addition of a bearing block and bow transforms fire-making from exhausting work to reliable technique."")","((ItemDefinitionId=""Hardwood01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Softwood01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Cordage01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Branch01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""BowDrill01"",Quantity=1,Chance=1.000000))","45.000000","None","Firemaking","5","","40.000000","None","Tools","","True","BowDrill","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"ScrapeHide","ScrapeHide","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ScrapeHide_DisplayName"", ""Scrape Raw Hide"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ScrapeHide_Description"", ""Remove flesh and fat from a fresh hide using a stone scraper. Speed is essential - an untreated hide begins rotting within hours."")","((ItemDefinitionId=""RawHide01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""ScrapedHide01"",Quantity=1,Chance=1.000000))","60.000000","None","Leatherworking","0","","20.000000","None","Materials","","True","HideProcessing","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"BrainTanHide","BrainTanHide","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""BrainTanHide_DisplayName"", ""Brain Tan Hide"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""BrainTanHide_Description"", ""Work animal brains into a scraped hide, then smoke it to produce soft, washable buckskin. Every animal has just enough brain to tan its own hide."")","((ItemDefinitionId=""ScrapedHide01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""AnimalBrain01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""TannedLeather01"",Quantity=1,Chance=1.000000))","180.000000","Campfire","Leatherworking","5","","50.000000","None","Materials","","True","BrainTanning","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"HaftSpear","HaftSpear","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""HaftSpear_DisplayName"", ""Haft Wooden Spear"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""HaftSpear_Description"", ""Bind a sharpened point to a straight shaft using cordage. The first composite tools combined materials with different properties."")","((ItemDefinitionId=""StraightBranch01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""SharpFlake01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Cordage01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""WoodenSpear01"",Quantity=1,Chance=1.000000))","25.000000","None","Woodworking","2","","20.000000","None","Weapons","","True","FireHardening","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"HaftFlintSpear","HaftFlintSpear","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""HaftFlintSpear_DisplayName"", ""Haft Flint-Tipped Spear"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""HaftFlintSpear_Description"", ""Attach a carefully knapped flint point to a spear shaft. The flint tip penetrates far deeper than wood alone."")","((ItemDefinitionId=""StraightBranch01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""FlintFlake01"",Quantity=2,bRequiresKnowledge=False),(ItemDefinitionId=""Cordage01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Resin01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""FlintSpear01"",Quantity=1,Chance=1.000000))","35.000000","None","Stoneworking","4","","35.000000","None","Weapons","","True","AxeHafting","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"MakeSimplePouch","MakeSimplePouch","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeSimplePouch_DisplayName"", ""Make Simple Pouch"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""MakeSimplePouch_Description"", ""Gather a single piece of leather and tie it with sinew to create a basic container."")","((ItemDefinitionId=""TannedLeather01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Cordage01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""SimplePouch01"",Quantity=1,Chance=1.000000))","20.000000","None","Leatherworking","6","","15.000000","None","Equipment","","True","HideProcessing","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"CraftSimpleBow","CraftSimpleBow","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CraftSimpleBow_DisplayName"", ""Craft Simple Bow"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CraftSimpleBow_Description"", ""Shape a bow stave and string it with twisted sinew or plant fiber. The bow stores energy for instant release."")","((ItemDefinitionId=""BowStave01"",Quantity=1,bRequiresKnowledge=False),(ItemDefinitionId=""Cordage01"",Quantity=2,bRequiresKnowledge=False))","((ItemDefinitionId=""SimpleBow01"",Quantity=1,Chance=1.000000))","90.000000","None","Woodworking","8","","50.000000","None","Weapons","","True","BowMaking","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"FletchArrows","FletchArrows","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""FletchArrows_DisplayName"", ""Fletch Arrows"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""FletchArrows_Description"", ""Attach fletching and points to straight shafts. Fletching stabilizes flight through drag."")","((ItemDefinitionId=""ArrowShaft01"",Quantity=5,bRequiresKnowledge=False),(ItemDefinitionId=""Feathers01"",Quantity=5,bRequiresKnowledge=False),(ItemDefinitionId=""FlintFlake01"",Quantity=5,bRequiresKnowledge=False),(ItemDefinitionId=""Resin01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""FlintArrow01"",Quantity=5,Chance=1.000000))","45.000000","None","Woodworking","6","","35.000000","None","Ammo","","True","Fletching","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"CraftAtlatl","CraftAtlatl","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CraftAtlatl_DisplayName"", ""Craft Atlatl"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CraftAtlatl_Description"", ""Carve a hooked throwing stick that effectively extends the arm, doubling spear velocity."")","((ItemDefinitionId=""Hardwood01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""Atlatl01"",Quantity=1,Chance=1.000000))","60.000000","None","Woodworking","6","","40.000000","None","Weapons","","True","AtlatlMaking","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
